OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1653,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0510099684612796,8.24521646848214e-05
1654,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00910164013879385,4.59054615228214e-06
1655,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Babylon,False, , , ,0.0956136321663923,0.00023880851339399
1656,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0178421326249865,7.56449379170933e-06
1657,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0206614762875677,7.23996698836038e-06
1658,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0507983437396534,6.14714228927788e-05
1659,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0672543865068957,9.94752360867326e-05
1660,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0031148986883945,3.26581802203838e-07
1661,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0103169556995197,3.47376608810175e-06
1662,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00757161949918404,9.4068350312241e-07
1663,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.031719877812851,4.11027572658553e-05
1664,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0263616319850165,1.20009905080628e-05
1665,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00978102059218881,2.51084790071945e-06
1666,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0128777112775068,4.10093146233438e-06
1667,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0829161568034918,0.000106083759485268
1668,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00702550435518627,2.66857127532784e-06
1669,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.00510464156674796,1.18268828568102e-06
1670,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0302697978572417,2.43581168364362e-05
1671,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,True,Hempstead, ,Hempstead,0.068818132092555,0.000151254198190744
1672,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00624344757307883,1.32062355478254e-06
1673,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0426356930753253,6.17497440316006e-05
1674,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0387829846321856,6.71508802208624e-05
1675,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0273302518789613,2.92024280377264e-05
1676,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0574980960233825,0.000132220436117142
1677,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0302446182319256,3.69923462550663e-05
1678,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0183602291610261,1.56696250977755e-05
1679,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0212969446168041,1.21341333570226e-05
1680,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0160170955366896,6.53835232345188e-06
1681,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00560606226657717,1.7281878435514e-06
1682,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0129540911870714,6.07075664285979e-06
1683,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0437170414874267,4.58091997821142e-05
1684,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0100081006618707,5.82279314290508e-06
1685,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.0522252421171072,3.787968954793e-05
1686,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00427467589414121,6.87971453378721e-07
1687,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0412075231591641,4.64594073262023e-05
1688,Land,Other States,NY,New York,CNTYCODE,63,Queens,SWIS,Queens,False, , , ,0.00161706287833132,1.64668412263948e-07
1689,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.0313177010647838,3.45738075995185e-05
1690,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00935588663614979,4.28244681191881e-06
1691,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,False, , , ,0.0329110777720013,3.34249281826533e-05
1692,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Hempstead,False, , , ,0.00526486756043202,1.31484658892006e-06
